Samples,Long,Lat,Status,ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV12,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV37,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV50,ASV51,ASV52,ASV53
ACH09,152.3778,-32.0987,Resistant,2025,2645,1235,0,0,0,273,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH17,144.8445,-34.5042,Susceptible,8179,0,0,0,0,2505,0,2209,0,1020,1278,1122,0,0,345,159,141,0,0,98,93,24,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACK30,151.1823,-33.8849,Resistant,9149,891,2872,5454,2534,0,1310,0,1848,696,0,0,51,901,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ1.167,175.6588069,-40.40852947,Susceptible,0,0,0,0,0,0,2167,0,0,2577,0,0,0,2938,0,0,0,0,0,0,0,0,0,0,0,0,0,876,587,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ2.167,175.6588069,-40.40852947,Susceptible,0,0,0,2079,0,0,0,0,0,5629,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,219,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TS24.BZ,149.135696,-35.272114,Resistant,2317,5810,0,294,0,604,0,0,0,1369,0,0,444,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,477,0,0,80,0,221,0,0,0,249,0,141,0,0,0,0,0,0,0
TS66.BZ,149.128998,-35.282001,Susceptible,1543,0,209,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,77,0
TS70.BZ,150.7677747,-33.9483365,Susceptible,565,0,0,792,0,0,0,0,0,0,0,0,0,889,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TS76.BZ,176.16667,-37.68611,Susceptible,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TS78.BZ,175.05,-39.9333,Susceptible,2350,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,933,0,1170,0,187,0,292,0,0,0,0,0,0,0,0,0,0,0
TS79.BZ,177.2833,-38.0833,Susceptible,0,0,0,0,0,0,0,0,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TS82.BZ,175.05,-39.9333,Susceptible,0,0,0,0,0,0,0,0,0,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,82,0,0
TS83.BZ,176.9908,-37.95341,Susceptible,4847,0,0,0,0,0,0,0,0,1368,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0
TS84.BZ,175.05,-39.9333,Susceptible,0,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,1393,0,0,0,842,0,0,0,171,0,125,116,109,103,0,0,65
