ID,fox_density,mat,cover,rugged,popden,vast,distcoast
1,2,14.55708027,13.52941132,12.31907463,6.34100008,2,0
2,6.88,15.22333304,6.0159235,19.36113167,3685.922852,4.877551079,5590.169922
3,0.136666667,14.00260258,71.92744446,44.85421371,0,1.346938729,10373.04199
4,0.303333333,13.30166769,76.06309509,69.26847076,0.001604938,1.142857194,27668.21289
5,0.2,13.93458335,79.18637848,117.8476334,0,1.023255825,4123.105469
6,2.8,12.31833243,48.13564682,81.77638245,9.884333611,2.979591846,68934.89844
7,2.325,12.93861357,17.30914879,47.37535858,2.852715969,3.428571463,91417.82813
8,2.1,6.232708693,63.85173416,206.9047852,3.144148111,1.040816307,142762.3594
9,0.9875,10.19388994,48.22713089,148.9338379,0.037037037,2.204081535,103712.7266
10,0.108333333,16.22283401,34.12811279,22.98573875,178.7731934,2.75,1392.838867
11,15,12.62093759,11.81978798,41.07457352,613.9954224,3.918367386,101877.0313
12,0.176,15.38027668,58.50788498,94.25559235,14.11355591,2.285714388,2563.201172
13,3.715,13.15124989,20.25867462,40.55714035,0.82720989,2.816326618,60115.30469
14,10,16.83562517,52.6275177,44.85062408,410.677063,1.408163309,3436.568115
15,10,17.45777957,6.94623661,18.73002625,3181.000244,4.804347992,2640.075684
16,10,17.71069336,8.059782982,23.43403244,5177.227051,3.962962866,538.5164795
17,1.43495534,14.94194667,16.26182938,24.7223053,0.474530846,3.142857075,149953.6563
18,0.63,13.21221987,10.67823315,37.27943802,73.82844543,3.408163309,145400.4531
19,0.2,18.9794426,42.61764526,15.3652916,6.633655071,1.692307711,1700
20,0.034130435,21.63582993,0.232558146,6.947169304,0,1.25,700
21,0.017894737,21.69361369,0.25390625,8.265341759,0,1.261904716,2061.552734
22,0.056666667,21.39971987,0.432525963,20.61877441,0,1.897959232,3889.72998
23,0.586666667,22.57124647,0.003154574,2.926080942,0,2.734693766,21213.20313
24,0.66,16.61694654,33.47805023,10.49660873,0.353268296,3,1118.033936
25,0.695,19.13291677,5.072555065,4.304313183,0,1.061224461,84678.45313
26,0.551,20.05749639,1.599369049,12.64808559,0,1,176323.5625
27,0.515,16.20802021,2.915540457,13.56679153,0.085000001,3.795918465,174384.0938
28,0.035,23.50625038,0.315457404,6.253563404,0,1,664575.5
29,0.15,18.04926968,2.182965279,132.1897583,0,1,892399.5625
30,0.058333333,22.44319661,0,4.253734589,0,1.979591846,798569.25
31,0.565833333,20.22521019,0,4.306107521,1.122864246,2.714285612,243424.9219
32,0.085780165,23.80958303,0.006309148,6.208692551,0,1.040816307,691052.5
33,0.129,19.81792068,0,7.170233727,0,1.020408154,304895.5313
34,0.0515,19.97791815,0,4.19200325,0,1.46938777,353455.4063
35,0.075,20.3799998,0,3.54149127,0,2.204081535,433886.7188
36,2,17.91499996,15.89589882,13.86599827,0,1,530003.75
37,0.904285714,14.86111005,6.517350197,56.84738541,0.95325923,2.938775539,204404.1406
38,1.3,14.07010484,4.400630951,40.73226547,0.468790144,3,194128.9531
39,3.333333333,14.63354015,2.921135664,37.99705505,4.081024647,3.183673382,228581.7188
40,0.4625,15.54354239,13.37025356,45.76409149,0.934975326,2.938775539,215057.2031
41,0.875,14.44697762,23.84542656,97.71820068,0.290246904,3,186805.25
42,1.466666667,12.63791688,22.47003174,64.88126373,0.226172835,2.897959232,159863.0625
43,10,17.04802036,27.28802681,43.27207947,1593.907349,4.326530457,5326.349609
44,0.25,20.24611282,1.81072557,47.81116104,0.208654314,2.591836691,905306.625
