Study,Species,Host,State,Samples,Prevalence,Latitude,Longitude,citation
1,Uncinaria stenocephala,Wild dogs,QLD,82,4.9,-27.4705,153.026,"Zoonotic and economically significant pathogens of peri-urban wild dogs across north-eastern New South Wales and south-eastern Queensland, Australia"
1,Ancylostoma caninum,Wild dogs,QLD,82,39,-27.4705,153.026,"Zoonotic and economically significant pathogens of peri-urban wild dogs across north-eastern New South Wales and south-eastern Queensland, Australia"
2,Ancylostoma caninum,Dog,QLD,10,100,-16.9203,145.771,Hookworms in cats and dogs in Queensland
2,Ancylostoma caninum,Dog,QLD,66,67,-27.4705,153.026,Hookworms in cats and dogs in Queensland
4,Ancylostoma caninum,Dog,VIC,734,2,-36.5517,145.9833,The prevalence of Dirofilaria immitis and other parasites in urban pound dogs in north-eastern Victoria
6,Ancylostoma caninum,Dog,QLD,61,98.36,-16.9073,145.8666,The hookworm Ancylostoma ceylanicum: An emerging public health risk in Australian tropical rainforests and Indigenous communities
6,Ancylostoma caninum,Dog,QLD,23,95.7,-16.4592,145.3738,The hookworm Ancylostoma ceylanicum: An emerging public health risk in Australian tropical rainforests and Indigenous communities
6,Ancylostoma caninum,Dog,QLD,8,100,-24.1986,150.3722,The hookworm Ancylostoma ceylanicum: An emerging public health risk in Australian tropical rainforests and Indigenous communities
6,Ancylostoma ceylanicum,Dog,QLD,61,21.7,-16.9073,145.8666,The hookworm Ancylostoma ceylanicum: An emerging public health risk in Australian tropical rainforests and Indigenous communities
7,Ancylostoma caninum,Dog,WA,188,52.65,-28.7435,124.7626,Observations on the endo- and ectoparasites affecting dogs and cats in Aboriginal communities in the north-west of Western Australia
8,Ancylostoma caninum,Dog,WA,183,51.1,-28.7435,124.7626,"The prevalence of Giardia and other intestinal parasites in children, dogs and cats from Aboriginal communities in the Kimberley"
9,Ancylostoma tubaeforme,Cats,QLD,400,19,-27.4705,153.026,A survey for parasites in cats
10,Ancylostoma tubaeforme,Cats,WA,33,18.2,-28.7435,124.7626,"The prevalence of Giardia and other intestinal parasites in children, dogs and cats from Aboriginal communities in the Kimberley"
11,Ancylostoma tubaeforme,Cats,WA,7,34,-28.7435,124.7626,Observations on the endo- and ectoparasites affecting dogs and cats in Aboriginal communities in the north-west of Western Australia
12,Ancylostoma tubaeforme,Cats,NT,188,13,-12.4637,130.8444,Gastro-intestinal parasites of feral cats in the Northern Territory.
13,Uncinaria stenocephala,Cats,TAS,107,2.3,-39.8753,143.9371,Internal parasites of feral cats from the Tasmanian Midlands and King Island
